A,A/C,2,1
A,NON A/C,2,6
A,A/C,4,11
A,NON A/C,4,22
A,NON A/C,6,6
B,A/C,3,11
B,NON A/C,3,73
B,NON A/C,6,3
C,NON A/C,2,15
C,NON A/C,4,6
D,A/C,1,11
D,NON A/C,1,1
D ANNEX,A/C,3,5
D ANNEX,NON A/C,3,3
D ANNEX,A/C,4,5
D ANNEX,NON A/C,4,5
E,A/C,2,3
E,NON A/C,2,34
F,A/C,2,36
F,NON A/C,2,21
F,NON A/C,4,4
F,A/C,6,31
F,NON A/C,6,70
G,A/C,1,10
G,NON A/C,1,12
G,A/C,4,27
G,NON A/C,4,53
H,A/C,1,12
H,NON A/C,1,19
H,NON A/C,3,46
H,NON A/C,6,3
J,A/C,1,10
J,NON A/C,1,19
J,NON A/C,3,50
J,NON A/C,6,5
K,A/C,4,3
K,NON A/C,4,7
K,A/C,6,78
K,NON A/C,6,40
L,A/C,1,3
L,NON A/C,1,3
L,A/C,2,21
L,NON A/C,2,77
L,NON A/C,3,3
L,A/C,4,4
L,NON A/C,4,10
L,A/C,6,28
L,NON A/C,6,37
